TwitterID,UserName,TweeterHandle,UserID,RetweetCount,FollowerCount,FriendCount,TweetText,TweetLanguage,Location,Time,TweetSourceType,Sentiment,ConfidencePositiveSen,ConfidenceNeutralSen,ConfidenceNegativeSen,TranslatedText,UAEInterest
1415728688516063235,Gabriel,GabrielDCosta5,1318861534760611840,0,13,11,"@DiprHaryana Shameful. Corona started with 1 case n now in crores. created havoc in April May.Board exams cancelled, collegesclosed-why open school. R teachers, othr staff, all parents vacinated. Why put the kids n families at risk.why cnt b hv online fr sm more time as on fr past 1 yr.",en,"फ़रीदाबाद, भारत",2021-07-15 17:43:16.000,COVID,negative,0.01,0.02,0.97,NULL,0
1416090471131238402,Claudia Webers🇩🇪🇮🇹,ClaudiaWebers,3349959125,3,1307,939,"RT @ImTheResistance: Las “personas” inoculadas tienen 3 veces más riesgo de morir por la Delta COVID Force

Así q vacúnate, q viajarás…al i…",es,,2021-07-16 17:40:52.000,COVID,negative,0.00,0.00,1.00,"RT @ImTheResistance: Inoculated people are 3 times more at risk of dying from Delta COVID Force

So q get vaccinated, q you will travel... al i...",0
1416091150985871362,Kamzou L,kamzou08,69330522,0,8273,7916,#covid19news U.K. scientist warns of risks as England prepares for coronavirus ‘Freedom Day’ https://t.co/sdPCqbn35z,en,Arlington VA (DC Area),2021-07-16 17:43:34.000,COVID,negative,0.09,0.42,0.49,NULL,0
1416106265672097792,Hamburger Abendblatt,abendblatt,18673738,0,116342,325,Niederlande und Griechenland werden Corona-Risikogebiete https://t.co/BKiVngosyW https://t.co/YurOEvYMap,de,Hamburg,2021-07-16 18:43:38.000,COVID,negative,0.00,0.01,0.99,The Netherlands and Greece will https://t.co/BKiVngosyW https://t.co/YurOEvYMap corona risk areas,0
1416181090482524160,#DanielSilveiraMeRepresenta,COBOL49328270,1267777255243218944,626,1387,1850,"RT @PauloMartins10: Reuters noticia que os protestos em Cuba aumentam o risco de Covid. Pessoalmente, acredito que o governo atirar nas pes…",pt,Brasil,2021-07-16 23:40:58.000,COVID,negative,0.00,0.00,1.00,"RT @PauloMartins10: Reuters reports that protests in Cuba increase Covids risk. Personally, I believe the government would shoot people...",0
1416211293372026883,IDGAFBIATCH,idgafbiatch__,1241091196765630465,1579,4,436,"RT @ddc_riskcom: สถานการณ์ COVID-19 ในประเทศไทย
วันที่ 17 กรกฎาคม 2564

#โควิด19 #COVID19 #สถานการณ์โควิด19 https://t.co/MeYPeB000E",th,,2021-07-17 01:40:58.000,COVID,neutral,0.00,1.00,0.00,"RT @ddc_riskcom: COVID-19 situation in Thailand
17 July 2021

#?????19 #COVID19 #??????????????19 https://t.co/MeYPeB000E",0
1416227087422169089,Prachi Insan,PrachiInsan10,1238097473215725568,136,145,32,RT @StMSGfansworld: Corona Warriors are risking their own life in fight against Covid19 . @derasachasauda salutes them by heart and pays tr…,en,"Uttar Pradesh, India",2021-07-17 02:43:44.000,COVID,mixed,0.27,0.22,0.51,NULL,0
1416287494790811648,◦●◉✿𝐊𝐚𝐮𝐫_𝐐𝐮𝐞𝐞𝐧 ✿◉●◦,cutekaur013,1137303094612680705,437,503,48,RT @StMSGfansworld: Corona Warriors are risking their own life in fight against Covid19 . @derasachasauda salutes them by heart and pays tr…,en,,2021-07-17 06:43:46.000,COVID,mixed,0.27,0.22,0.51,NULL,0
1416573750598721538,หมูหัน ʕ•ᴥ• ʔ,moohann_,70698348,546,13258,704,"RT @ddc_riskcom: สถานการณ์ COVID-19 ในประเทศไทย
วันที่ 18 กรกฎาคม 2564

#โควิด19 #COVID19 #สถานการณ์โควิด19 https://t.co/c7MWSdVZf7",th,ติดต่องาน DM ได้เลยค่า 🌈,2021-07-18 01:41:15.000,COVID,neutral,0.00,1.00,0.00,"RT @ddc_riskcom: COVID-19 situation in Thailand
18 July 2021

#?????19 #COVID19 #??????????????19 https://t.co/c7MWSdVZf7",0
1416680173408247810,D.Ranged,therealdranged,108920325,0,17403,11608,"Verwarrend @hugodejonge  al dat besmetting gezwets, heeft niets met de ernst v/d crisis van doen. Verwarring en tweedracht, dat is exact wat uw maffia elite wil.
Eventuele stijging in opnames en overlijdens door Corona schets een veel duidelijker beeld.
https://t.co/qVAx19JzCK",nl,The Netherlands,2021-07-18 08:44:08.000,COVID,negative,0.00,0.00,1.00,"Confusing @hugodejonge all that contamination has nothing to do with the severity of the crisis. Confusion and discord, thats exactly what your mafia elite wants.
Any increase in admissions and deaths due to Corona sketches a much clearer picture.
https://t.co/qVAx19JzCK",0
1416890906825924612,Cotè,MJMendillo,298084924,0,406,562,"@SwitchHealthCA I have requested a refund of $158.20 bc I only wanted to buy ONE #CovidTes but your site does not have the option to buy a “one single” test, but instead  “+1 covid-19 PCR test” so confusing! You have charged me for Two covidTest. A total $316.40 https://t.co/ycEZ5w0j5u",en," 🇨🇦 y Puchuncaví 🇨🇱",2021-07-18 22:41:31.000,COVID,negative,0.00,0.00,1.00,NULL,0
1417011728865538048,Dr. Thomas Bauer [ Nr. 529 & deboosted ],ThomasGBauer,2210466440,53,2961,694,"RT @AdamBaldwin: COVID shots are risky, at best.

Beware: 
https://t.co/86FIAdHF8y",en,Europe,2021-07-19 06:41:37.000,COVID,negative,0.01,0.12,0.87,NULL,0
1417133257662115842,Maureen,maureenhanley07,1147148201843154949,11,34,56,"RT @NYCPDDEA: As Detectives search for the person responsible, NYers continue to be at risk due to the disorder on NYC streets. Now is the…",en,,2021-07-19 14:44:32.000,COVID,negative,0.00,0.00,1.00,NULL,0
1417420210601033733,Manjeet Singh Meena,ManjeetSingh___,1106866150128914432,1,9943,9412,RT @NayanJain25: The country is witnessing a third wave of corona but the modi government is silently watching and risking the life of lakh…,en,"Churu, Rajasthan, India",2021-07-20 09:44:47.000,COVID,negative,0.00,0.01,0.99,NULL,0
1417449719064825856,Lucy Harris 🤔🙏🏽🌈🏳️‍⚧️,RingwoodUnitari,2840198871,20,600,1190,"RT @Steven_Swinford: No 10 clear this is not the official line and say people should isolate:

‘Given risk of having and spreading the viru…",en,Ringwood Hants UK,2021-07-20 11:42:02.000,COVID,negative,0.00,0.00,1.00,NULL,0
1417646056062529550,Fx Live Feed,FxLiveFeeds,1212686485230510080,0,77,0,"New Zealand Dollar Outlook: NZD/USD, AUD/NZD React to Covid Risks, RBNZ Policy Bets https://t.co/OTAxoBJETy https://t.co/gxk66YgK77",en,,2021-07-21 00:42:13.000,COVID,neutral,0.01,0.91,0.08,NULL,0
1417661158782349312,𝑺𝒖𝒛𝒂𝒏𝒏𝒆 𝑬𝒍𝒊𝒛𝒂𝒃𝒆𝒕𝒉,Suz_Eliz69,771593854705217536,164,1104,710,RT @tomborelli: So @cdc ⁦@CDCDirector⁩ bans dogs from coming into US over de minimis health risk but stays silent on COVID coming through t…,en,The Mitten,2021-07-21 01:42:13.000,COVID,negative,0.00,0.01,0.99,NULL,0
