TwitterID,UserName,TweeterHandle,UserID,RetweetCount,FollowerCount,FriendCount,TweetText,TweetLanguage,Location,Time,TweetSourceType,Sentiment,ConfidencePositiveSen,ConfidenceNeutralSen,ConfidenceNegativeSen,TranslatedText,UAEInterest
1415592755087167488,BCM Academy,bcm_academy,1577602674,0,150,389,"“Corona en vakantie zijn geen ‘vrienden’ van elkaar. Toch is het mogelijk om met beperkingen de oplaadtijd te nemen. Wellicht anders dan gepland of anders dan gewenst.
 
Be Safe &amp; Prepared

https://t.co/d2PUq3xMaS https://t.co/aPfbWSPAaF",nl," Nederland",2021-07-15 08:43:07.000,COVID,mixed,0.50,0.05,0.45,"Corona and holidays are not friends of each other. Nevertheless, it is possible to take the charging time with limitations. Perhaps different than planned or different than desired.
 
Be Safe &amp;Prepared

https://t.co/d2PUq3xMaS https://t.co/aPfbWSPAaF",0
1415667592581185544,The Cobbler,thedpctpr,1146209435490103296,63,45,27,RT @PrisonPlanet: CNN claims its competition is literally killing people by broadcasting dangerous ‘anti-vax bullshit’ and that both Fox Ne…,en,Angry Birds Sex Game,2021-07-15 13:40:30.000,COVID,negative,0.00,0.00,1.00,NULL,0
1415758215548227586,Pablo D'ANGELO,PabloDANGELO12,1342272679974465536,1,9,88,RT @Stetiennetour: La Ciudad de Buenos Aires abre nuevos centros de testeo para turistas nacionales que viajen en las vacaciones de inviern…,es,,2021-07-15 19:40:36.000,COVID,neutral,0.05,0.94,0.01,RT @Stetiennetour: The City of Buenos Aires opens new testing centers for national tourists who travel on holidays to invest...,0
1415924341741654019,Manipolo 🐺🌕🔴,MdEroi,2374162922,6,246,189,"RT @emme_di: #Alitalia non offre più bibite e snack in volo per via del covid

#easyjet invece ha snack e bibite a pagamento, quindi li ven…",it,,2021-07-16 06:40:44.000,COVID,negative,0.00,0.01,0.99,"RT @emme_di: #Alitalia no longer offers drinks and snacks in flight due to covid

#easyjet instead has snacks and soft drinks for a fee, so they will be...",0
1416030740421165067,Nadim Abou Jalad 🇱🇧🇨🇭,NAboujalad,2448033222,0,311,288,"@MEAAIRLIBAN I am on a flight from Geneva to Beirut now , can i know why you are not serving alcohol anymore? Definitely it's related to Corona so can explain?",en,"Geneva🇨🇭,  Zahlé 🇱🇧",2021-07-16 13:43:31.000,COVID,neutral,0.02,0.95,0.03,NULL,0
1416060265540509697,Fatma Fouda,Fattma_Fouda,1344991515819577344,0,556,611,"@TravelGov @CDCgov @USEmbassyCairo @CDCgov officially put Egypt in Level 3 instead of level 4 💪🏼 . 
So,COVID IS NOT THE CAUSE FOR NOT INTERVIEWING Diversity Visa  #DV2021 in @USEmbassyCairo.
Please, send more interviews &amp; save our lifetime chance🙏
#USEmbassyCairo_Against_DV2021
@TravelGov
https://t.co/L1cvfrVI3Z.",en,,2021-07-16 15:40:51.000,COVID,positive,0.77,0.21,0.02,NULL,0
1416060265314066432,Victor Rwanda,vmrwanda,292898515,4,993,908,RT @SkyNews: COVID-19: Ministers to decide if France will be moved to red travel list within days https://t.co/wWF24ssvIc,en,,2021-07-16 15:40:51.000,COVID,neutral,0.01,0.99,0.00,NULL,0
1416076053529911304,Rick Buitenman,rickmb,3623281,0,1341,2195,"Er voltrekt zich een natuurramp en we hebben de snelste uitbraak van corona anywhere ever.

Ik zet de TV aan, en waar gaat het weer over bij 1Vandaag: vakanties.

Wat een land.",nl,Amsterdam,2021-07-16 16:43:35.000,COVID,negative,0.02,0.01,0.97,"There is a natural disaster and we have the fastest outbreak of corona anywhere ever.

I turn on the TV, and whats it about again at 1Vandaag: holidays.

What a country.",0
1416090471131238402,Claudia Webers🇩🇪🇮🇹,ClaudiaWebers,3349959125,3,1307,939,"RT @ImTheResistance: Las “personas” inoculadas tienen 3 veces más riesgo de morir por la Delta COVID Force

Así q vacúnate, q viajarás…al i…",es,,2021-07-16 17:40:52.000,COVID,negative,0.00,0.00,1.00,"RT @ImTheResistance: Inoculated people are 3 times more at risk of dying from Delta COVID Force

So q get vaccinated, q you will travel... al i...",0
1416135777331949570,SYLVIA SELZER,SYLVIASELZER,526267439,115,376,511,RT @MarkUrban01: I find this utterly baffling - Britons travelling to France on holiday are surely less likely to catch Covid than if they…,en,NORTH WEST ENGLAND,2021-07-16 20:40:54.000,COVID,negative,0.00,0.00,1.00,NULL,0
